Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,83.29,83.46,81.88,82.46,84.17,87.08,86.13,83.58,82.88,82.67,83.25,83.21,83.46,84.83,83.15,82.86,84.85,85.42,85.17,85.58,86.85,85.58,85.15,84.58,84.35,81.13,82.88,83.19,82.85,82.29,82.23,81.63,82.19,82.56,82.67,82.06,78.35,79.88,81.33
Chile,47.46,44.79,45.88,53.42,61.67,63.13,66.50,69.17,72.42,74.96,77.04,79.13,80.71,81.88,78.73,71.45,74.15,75.92,76.15,76.38,78.71,81.44,82.21,82.38,80.19,76.25,78.27,77.31,76.94,77.75,76.15,75.58,74.38,74.63,76.56,75.81,68.15,74.40,71.92
China,,69.92,65.96,63.71,65.13,60.38,58.21,60.63,70.71,74.00,68.42,70.96,73.04,74.48,74.67,74.02,73.08,72.98,74.94,76.65,76.71,77.40,78.25,79.38,78.75,77.79,76.40,74.27,74.21,74.31,72.15,72.42,71.23,72.75,73.10,72.54,71.27,72.46,70.73
Colombia,58.17,58.58,59.33,60.25,56.75,55.33,58.79,66.58,68.91,68.88,68.21,68.92,64.38,56.94,57.71,55.38,58.46,61.46,61.38,61.35,63.35,64.13,65.60,65.60,65.63,64.50,67.63,69.27,68.79,68.48,69.42,65.85,65.98,67.71,68.13,67.44,63.02,62.69,63.71
Congo,,52.17,51.75,51.50,48.96,50.96,52.33,53.25,47.25,47.42,52.83,54.79,57.88,56.18,45.56,49.46,50.04,59.52,60.17,57.52,63.42,64.71,66.21,67.96,68.19,70.17,71.35,71.40,68.60,69.42,70.58,67.29,63.29,60.19,61.19,65.83,62.79,61.21,64.75
"Congo, DR",29.29,33.54,37.83,39.46,39.96,38.71,39.88,33.83,27.25,30.13,30.83,36.21,36.29,35.23,38.33,38.19,44.69,49.09,44.08,46.63,49.71,47.06,47.69,49.08,51.77,44.90,49.06,50.52,55.13,52.48,53.35,56.35,55.71,49.19,54.44,55.35,53.35,56.94,59.52
Costa Rica,54.63,55.25,58.25,57.54,59.29,59.08,63.33,68.17,72.29,71.71,72.92,73.92,73.13,73.57,75.98,76.60,75.77,76.40,73.67,72.67,72.75,72.54,71.96,74.79,74.25,70.56,73.25,74.85,74.10,72.88,73.06,73.40,73.67,73.98,73.79,72.90,69.02,71.33,72.21
Cote d'Ivoire,,,,64.79,63.08,60.96,58.46,58.92,60.54,59.21,58.33,59.79,61.42,64.36,64.79,67.02,54.92,57.35,57.56,55.10,56.44,54.56,56.85,58.13,59.23,57.85,58.23,58.15,61.13,60.88,61.73,61.96,63.08,62.75,62.90,60.94,61.33,61.38,61.75
Croatia,,,,,,,,,,,,,,,,69.46,69.42,74.27,73.44,72.17,73.21,75.06,75.15,73.04,72.67,70.44,69.63,70.15,68.19,67.46,68.81,68.33,71.52,71.90,75.65,76.40,70.77,70.08,73.73
Cuba,,,53.25,47.08,45.75,44.25,43.17,41.33,41.04,47.54,51.75,53.79,60.29,61.28,61.92,60.57,61.71,64.25,64.50,61.08,62.92,64.79,66.40,67.48,66.19,63.85,66.04,66.00,66.13,66.06,66.31,68.60,69.69,67.60,68.48,70.15,68.54,64.13,65.67
Cyprus,,61.04,61.25,63.00,66.92,70.25,70.83,72.08,80.29,79.92,79.96,79.83,80.63,80.25,77.83,75.34,78.56,79.59,81.13,82.98,83.31,83.08,81.56,81.21,80.40,79.71,75.02,70.48,67.30,64.88,66.25,69.52,73.40,73.29,75.29,75.44,71.44,70.96,70.04
Czech Republic,,,,,,,,,,73.42,78.71,81.79,83.25,81.32,76.71,75.88,74.94,75.52,76.13,77.63,76.31,77.75,78.63,78.69,77.19,73.63,75.65,76.15,73.58,73.73,76.00,76.96,79.15,79.65,80.65,80.02,75.02,77.06,76.38
Czechoslovakia,,71.00,70.92,69.92,68.00,68.00,71.38,69.71,70.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
