Country,Budget_Balanace,Bureaucracy_Quality,CAXGS,Composite,Corruption,CACC,DebtServ,Democratic_Accountability,Ethnic_Tension,Exchange_Rate,External_Conflict,Inflation,International_Liquidity,Law_Order,Military_Politic,Religious_Tension,GDP,Year
Angola,7.63,1.5,11.5,59.02,2.17,10.5,7.88,2.5,3.0,4.42,10.5,4.75,3.5,2.5,2.0,4.0,24.984507535685584,2019
Albania,6.5,2.0,10.83,70.17,2.5,9.5,9.5,5.0,4.5,10.0,10.58,9.5,3.83,3.0,5.0,5.0,23.457751919027793,2019
Argentina,5.79,3.0,10.08,61.4,2.46,10.42,9.5,4.0,6.0,2.17,9.96,2.75,4.0,2.0,4.5,6.0,26.827511338168033,2019
Armenia,6.5,1.0,11.13,68.5,2.0,10.13,9.38,4.0,5.5,10.0,7.38,9.63,2.5,3.0,3.5,5.0,23.334753046679023,2019
Australia,7.75,4.0,11.5,79.48,4.5,10.75,9.0,6.0,3.5,9.54,11.0,9.75,1.5,5.5,6.0,6.0,27.96367989481139,2019
Austria,7.71,4.0,12.5,80.23,4.5,12.71,10.0,6.0,4.0,9.75,11.5,9.75,1.0,6.0,6.0,5.0,26.82043219211716,2019
Azerbaijan,7.83,1.0,13.38,71.71,1.5,13.88,9.83,1.5,4.5,10.0,7.38,9.33,3.5,3.5,3.0,4.0,24.598090177620442,2019
Belgium,7.25,4.0,12.5,77.42,4.5,12.0,10.0,6.0,3.0,9.75,11.5,9.54,0.0,5.0,6.0,4.5,27.007149601651633,2019
Burkina Faso,5.92,1.0,9.71,64.48,2.5,9.33,10.0,5.0,3.54,9.75,9.0,9.63,0.0,3.5,2.0,4.5,23.497903302930773,2019
Bangladesh,5.29,2.0,11.13,66.15,2.5,10.63,9.42,4.0,2.5,10.0,8.83,8.5,3.5,2.0,2.5,3.0,26.584711828901867,2019
Bulgaria,7.63,2.0,12.79,77.27,3.0,13.17,10.0,5.5,4.46,9.79,9.33,9.5,4.0,3.0,5.0,5.0,24.95564636370557,2019
Bahrain,4.08,2.0,11.58,66.17,2.5,10.17,10.0,3.0,4.0,10.0,10.0,9.5,1.08,4.5,3.0,3.0,24.377898457844953,2019
Belarus,5.25,1.5,11.75,65.46,2.0,10.25,9.75,1.0,5.0,9.79,10.0,8.25,1.5,3.5,3.0,5.0,24.88853664477479,2019
Bolivia,4.21,2.5,10.08,65.94,2.0,9.79,9.5,3.42,3.0,10.0,9.5,9.5,4.21,2.5,2.92,6.0,24.43428153773333,2019
Brazil,5.0,2.33,11.25,70.58,2.0,11.0,8.0,5.0,3.0,9.13,10.5,8.75,5.0,2.33,4.0,6.0,28.258716401117752,2019
Botswana,6.13,2.08,13.75,78.44,3.08,14.13,10.0,3.79,4.5,9.63,11.0,9.0,4.71,3.5,5.0,5.0,23.540224740353427,2019
Canada,6.75,4.0,11.5,82.06,5.0,10.5,10.0,6.0,3.5,10.0,11.0,9.96,1.5,5.5,6.0,6.0,28.187044850829164,2019
Switzerland,8.0,4.0,13.5,88.38,5.0,14.5,10.0,6.0,4.0,9.92,10.5,10.0,5.0,5.0,6.0,4.5,27.304416788761394,2019
Chile,6.71,3.0,11.54,75.81,4.0,10.54,10.0,5.0,5.0,8.92,10.0,9.5,3.5,4.42,4.5,6.0,26.35191181635993,2019
China,5.58,2.0,12.5,72.54,2.0,12.0,10.0,1.5,3.5,9.79,8.25,9.29,5.0,3.5,3.0,3.5,30.289878867394396,2019
Cote d'Ivoire,6.0,0.0,11.25,60.94,2.0,10.5,9.5,4.0,2.0,9.75,9.54,9.75,0.0,2.5,2.58,2.0,24.823971701403476,2019
Cameroon,6.04,1.5,10.21,60.73,1.5,10.5,9.21,2.0,3.0,9.75,9.04,9.96,2.33,2.0,2.54,3.5,24.403804541708947,2019
Colombia,6.42,2.0,10.5,67.44,2.5,10.29,8.71,4.5,5.0,8.88,9.04,9.0,4.08,2.0,2.5,5.0,26.501016301460915,2019
Costa Rica,4.92,2.0,11.5,72.9,2.5,10.5,10.0,5.5,6.0,9.83,9.5,9.25,2.17,2.5,6.0,5.0,24.888653819394406,2019
Cyprus,9.0,4.0,11.5,75.44,3.5,9.25,10.0,6.0,2.5,9.75,9.0,10.0,0.75,5.0,5.0,4.0,23.9793226076884,2019
Germany,8.08,4.0,13.42,83.25,5.0,14.0,9.58,6.0,4.0,9.75,10.5,9.92,0.0,5.0,6.0,5.0,28.98921883456327,2019
Denmark,8.0,4.0,13.5,84.21,5.5,14.0,10.0,6.0,4.0,9.75,10.5,10.0,3.5,6.0,6.0,5.5,26.57114501332337,2019
Dominican Republic,6.29,1.0,12.0,72.88,2.0,11.04,9.33,4.5,5.0,9.92,10.0,9.5,2.0,3.0,3.0,5.0,25.211243254316443,2019
Algeria,3.63,2.0,8.88,63.4,2.0,8.88,10.0,3.29,3.0,10.0,9.08,8.75,5.0,3.0,2.29,2.5,25.98833486303681,2019
Ecuador,6.83,2.0,12.0,65.77,2.46,11.5,7.71,3.46,3.42,9.75,9.5,10.0,1.0,2.75,1.5,5.0,25.401647719982236,2019
Spain,6.75,3.0,12.5,75.9,3.5,12.04,9.46,6.0,4.0,9.75,10.5,9.96,1.04,5.0,5.0,4.5,27.9634279966984,2019
Estonia,7.5,2.5,12.5,75.35,4.0,12.58,9.71,5.5,2.5,9.75,11.0,9.21,0.0,4.0,5.0,5.0,24.16657888137254,2019
Ethiopia,6.04,1.88,8.04,61.04,2.13,9.5,9.0,2.88,2.5,9.67,9.04,6.46,0.5,4.5,2.0,3.96,25.28670327758058,2019
Finland,7.5,4.0,12.13,81.52,5.5,11.63,10.0,6.0,6.0,9.75,11.5,10.0,0.63,6.0,6.0,6.0,26.316172306046894,2019
France,6.08,3.0,12.0,74.21,4.0,11.29,7.5,6.0,2.5,9.75,10.0,10.0,0.0,5.0,5.0,4.0,28.63490881042908,2019
Gabon,7.5,1.5,11.67,65.44,2.0,10.67,8.83,3.0,4.5,9.75,9.5,9.0,1.17,3.0,2.0,5.0,23.549063841095926,2019
United Kingdom,6.88,4.0,11.0,77.9,5.0,10.0,9.5,6.0,4.0,9.83,9.5,9.5,1.5,5.0,6.0,6.0,28.678833730431514,2019
Ghana,5.25,2.5,11.5,68.48,3.0,10.5,9.25,5.0,3.5,7.96,10.5,7.5,1.5,2.5,3.0,6.0,24.947731367764867,2019
Guinea,7.33,2.0,6.92,56.58,1.5,5.08,10.0,3.33,2.0,10.0,8.0,7.5,0.0,2.0,0.5,3.0,23.321714058338802,2019
Greece,7.42,3.0,11.83,71.88,2.5,10.83,6.08,6.0,5.0,9.75,10.5,10.0,1.0,4.5,5.0,5.0,26.047508036537394,2019
Guatemala,6.63,2.5,12.5,72.35,2.0,12.0,9.5,4.0,3.0,9.92,9.83,9.0,3.5,2.5,4.0,6.0,25.06930664493772,2019
Guyana,5.08,3.0,10.92,65.88,2.5,9.08,10.0,4.5,2.0,10.0,9.13,9.25,1.42,1.5,4.0,6.0,22.366865570940043,2019
Honduras,6.58,2.0,11.5,67.75,2.46,10.25,10.0,4.5,5.0,10.0,10.33,8.5,2.5,2.0,2.5,5.0,23.937419559892206,2019
Croatia,7.79,3.0,12.5,76.4,3.0,12.58,8.71,5.5,4.0,9.75,10.0,10.0,3.5,4.5,5.0,5.0,24.84825530522587,2019
Haiti,6.13,0.0,11.67,57.48,1.5,10.46,10.0,4.42,5.0,5.17,9.5,5.79,2.75,1.5,0.0,6.0,23.432388191720577,2019
Hungary,6.5,3.0,12.5,77.02,3.0,12.5,8.75,5.0,4.0,9.42,10.5,9.0,1.5,4.0,6.0,5.5,25.823257015108833,2019
Indonesia,6.63,2.04,11.0,69.21,3.0,10.5,9.75,4.33,2.0,10.0,9.0,9.13,3.75,2.5,2.5,1.5,27.743545791812114,2019
India,6.0,3.0,11.5,71.0,2.5,10.96,10.0,6.0,2.5,9.83,7.92,8.96,3.75,4.5,4.0,2.5,28.673276877356933,2019
Ireland,7.58,4.0,12.58,83.75,4.5,14.0,9.0,6.0,5.5,9.75,11.5,10.0,0.0,6.0,6.0,5.0,26.712059345021974,2019
Iraq,7.38,1.5,13.08,66.02,1.42,13.0,10.0,4.0,2.5,10.0,9.79,10.0,4.04,1.5,0.33,1.25,26.177030604217094,2019
Iceland,8.04,4.0,12.58,82.5,4.96,13.0,8.75,6.0,5.5,8.29,10.0,9.13,4.17,6.0,6.0,6.0,23.929313477341804,2019
Israel,5.75,4.0,13.0,77.31,3.5,12.75,10.0,6.0,2.0,9.96,8.0,10.0,5.0,5.0,2.5,2.5,26.72088767303245,2019
Italy,6.5,2.5,13.0,75.98,3.0,12.67,8.5,5.5,4.5,9.75,11.0,10.0,2.0,4.0,6.0,5.5,28.329803488341927,2019
Jamaica,8.0,3.0,11.71,71.33,2.5,10.25,8.21,4.0,5.0,9.75,11.5,8.75,2.54,2.29,5.0,6.0,23.48522113235476,2019
Jordan,5.58,2.0,10.79,64.5,3.0,9.29,9.0,3.0,3.5,10.0,9.5,9.58,3.5,3.5,4.0,4.0,24.51881832527042,2019
Japan,6.17,4.0,13.83,81.6,4.0,13.08,10.0,5.0,5.5,10.0,9.5,10.0,5.0,5.0,5.0,5.5,29.26378365261355,2019
Kenya,4.5,2.29,9.58,64.46,2.38,10.0,8.83,5.0,2.5,10.0,9.54,8.25,3.08,3.0,3.5,4.0,25.332213242324723,2019
Kuwait,7.13,2.0,13.08,77.48,2.5,13.63,10.0,3.0,4.5,10.0,9.54,10.0,4.0,4.0,5.0,3.5,25.65555263967508,2019
Lebanon,2.5,2.0,8.0,55.81,1.5,3.88,8.88,4.5,5.0,10.0,7.13,9.0,5.0,4.0,2.0,2.5,24.666902989806008,2019
Liberia,4.92,0.0,8.0,52.0,2.0,4.25,10.0,5.0,3.0,5.79,9.5,4.5,0.0,2.0,3.0,3.5,21.92310907634411,2019
Libya,3.79,1.5,12.92,67.67,1.0,13.38,10.0,2.0,5.0,10.0,9.0,6.54,5.0,4.0,3.0,4.5,25.001069673282984,2019
Sri Lanka,5.0,2.0,11.29,64.17,2.0,10.5,8.92,4.0,3.0,8.88,10.5,8.5,1.83,3.5,3.0,2.0,25.212070488519945,2019
Lithuania,7.79,2.5,12.0,74.02,3.0,11.5,7.29,5.5,4.0,9.75,10.5,9.29,1.0,4.0,5.0,5.5,24.72711170566951,2019
Luxembourg,8.29,4.0,12.5,87.48,5.0,13.21,10.0,6.0,5.0,9.75,11.0,10.0,0.0,6.0,6.0,6.0,24.97019564467951,2019
Latvia,7.5,2.5,12.0,73.9,2.5,11.25,10.0,5.0,2.5,9.75,11.0,9.25,1.75,5.0,5.0,5.0,24.25623820615437,2019
Morocco,5.92,2.0,11.5,69.58,3.0,10.25,9.5,4.5,4.5,10.0,9.5,9.92,3.5,4.0,4.0,5.0,25.582459960362645,2019
Moldova,6.0,1.0,11.0,65.94,2.0,9.5,10.0,4.0,2.0,9.79,9.5,9.0,3.5,4.0,4.0,6.0,23.185994790843633,2019
Madagascar,5.0,2.0,11.5,65.13,1.5,10.5,10.0,4.0,2.5,8.83,11.0,8.0,2.5,2.5,1.0,4.5,23.36977140788179,2019
Mexico,6.5,2.5,12.0,69.19,1.5,11.0,8.58,4.0,3.0,9.92,10.75,8.58,2.5,1.5,3.0,5.5,27.89738593351901,2019
Mali,6.0,0.0,10.0,60.52,2.0,9.5,9.63,3.0,2.71,9.75,8.0,9.88,0.0,3.0,2.5,3.71,23.572830114686436,2019
Malta,8.5,3.0,12.5,80.19,3.0,14.5,10.0,6.0,5.0,9.75,12.0,10.0,1.0,4.5,6.0,5.0,23.496139761371804,2019
Myanmar,5.83,1.0,10.33,63.25,2.0,10.0,10.0,3.0,2.5,9.21,8.5,8.0,2.17,3.0,1.5,3.0,25.04162165695241,2019
Mongolia,6.63,2.5,10.5,69.6,2.33,8.5,8.75,4.0,5.0,9.38,11.5,7.54,2.0,3.63,5.0,5.0,23.37695551944782,2019
Mozambique,6.0,2.0,6.5,57.44,2.0,2.5,9.0,4.0,4.0,9.83,9.5,8.0,2.5,3.0,4.42,6.0,23.46492868126707,2019
Malawi,5.75,2.5,8.5,61.67,2.0,9.25,9.63,4.42,3.5,10.0,9.46,7.5,1.13,2.5,3.5,2.5,23.128164287391442,2019
Malaysia,6.0,3.0,12.5,75.96,2.5,13.0,10.0,4.0,3.5,10.0,10.0,9.83,3.5,4.0,5.0,3.5,26.623649978936463,2019
Namibia,4.0,2.0,11.5,70.46,3.0,10.25,10.0,4.0,4.5,8.92,11.5,8.5,2.25,5.0,6.0,6.0,23.252343116533325,2019
Niger,5.25,1.5,3.0,53.15,1.5,5.13,9.38,3.0,3.0,9.75,9.5,9.5,0.63,2.0,2.0,2.0,23.279683173957068,2019
Nigeria,6.5,1.5,13.21,64.35,1.5,13.04,10.0,4.5,2.0,10.0,9.42,6.54,4.13,2.0,2.0,1.5,26.885564315949182,2019
Nicaragua,6.25,1.0,11.33,59.98,1.5,10.46,10.0,2.5,5.0,9.75,8.83,9.25,0.42,3.0,2.5,5.0,23.264792728741053,2019
Netherlands,8.21,4.0,13.0,83.21,5.0,14.92,10.0,6.0,4.5,9.75,12.0,9.5,0.0,6.0,6.0,4.0,27.53692398241148,2019
Norway,10.0,4.0,13.92,89.1,5.0,14.08,10.0,6.0,4.5,9.33,11.0,9.58,3.67,6.0,6.0,5.5,26.736352044408996,2019
New Zealand,8.0,4.0,11.0,82.9,5.5,10.5,9.5,6.0,3.5,9.83,10.0,10.0,3.0,5.5,6.0,6.0,26.08383900096582,2019
Oman,4.5,2.0,11.67,71.88,3.0,10.33,10.0,2.0,5.0,10.0,10.0,10.0,3.17,5.0,5.0,4.0,25.20129398350721,2019
Pakistan,4.67,2.0,10.0,56.63,2.0,10.17,9.0,4.0,1.0,6.67,8.21,7.75,0.17,3.0,1.5,1.0,26.494424904011602,2019
Panama,6.63,2.0,11.13,74.54,2.0,9.83,9.5,6.0,5.0,10.0,11.0,9.79,1.0,3.0,5.0,5.0,24.967778695536932,2019
Peru,6.5,2.13,11.5,73.56,2.63,11.0,9.29,5.0,3.0,10.0,10.0,9.71,5.0,3.0,4.5,6.0,26.154127885746323,2019
Philippines,6.67,3.0,11.75,71.67,2.5,11.0,10.0,5.0,4.0,10.0,10.38,8.83,4.0,2.5,2.04,3.0,26.655042485588712,2019
Papua New Guinea,6.46,2.0,8.67,61.33,2.0,6.08,10.0,3.0,2.0,10.0,9.5,8.5,3.96,3.0,4.5,5.0,23.93213443252861,2019
Poland,6.5,3.0,12.0,78.08,3.0,11.5,10.0,5.17,6.0,9.58,10.0,9.67,2.67,3.5,6.0,5.0,27.113604608358376,2019
Portugal,7.5,3.0,12.0,77.48,4.0,11.25,8.25,5.5,6.0,9.75,9.5,10.0,2.0,5.0,6.0,5.5,26.203850269799247,2019
Paraguay,7.0,1.5,12.0,68.1,2.0,11.0,10.0,2.0,5.0,9.13,10.5,8.92,3.5,2.0,1.5,6.0,24.35888528314713,2019
Qatar,8.0,2.0,13.42,76.63,3.5,13.88,10.0,2.0,6.0,10.0,7.0,9.08,2.58,5.0,4.0,4.0,25.89585708568958,2019
Romania,6.0,1.0,11.13,70.17,2.5,10.13,9.5,6.0,3.5,9.38,11.0,8.71,3.0,3.04,5.0,5.0,26.248789680437,2019
Saudi Arabia,5.13,2.0,13.83,75.58,3.5,13.83,10.0,2.0,5.0,10.0,7.92,9.79,5.0,5.0,5.0,3.5,27.45495769608234,2019
Sudan,5.25,1.0,4.13,39.23,0.5,9.88,10.0,2.25,1.71,0.0,7.79,2.5,0.0,2.5,0.58,2.21,24.19951129431872,2019
Senegal,6.33,1.42,10.08,63.29,2.13,9.08,8.33,4.42,3.0,9.75,10.0,10.0,0.0,3.0,2.5,3.0,23.876172613625396,2019
Singapore,7.5,4.0,13.13,86.04,5.0,15.0,10.0,2.0,6.0,10.0,10.5,10.0,4.0,5.0,5.0,4.5,26.655250112965966,2019
Sierra Leone,4.96,0.0,4.67,57.63,3.0,5.88,9.96,4.5,3.5,8.29,10.5,6.04,0.0,3.5,2.5,5.0,22.128523919361346,2019
El Salvador,6.17,2.0,11.5,69.25,2.0,10.5,9.83,5.0,6.0,9.75,10.5,10.0,2.0,1.96,2.5,6.0,24.014690762416336,2019
Somalia,6.5,0.0,11.0,52.94,0.5,9.5,10.0,2.71,2.0,10.0,7.25,9.0,0.0,0.5,1.0,3.0,22.966146705617064,2019
Suriname,4.63,2.0,11.88,65.83,2.5,11.0,10.0,5.0,4.0,10.0,10.0,8.25,0.75,3.0,3.0,6.0,22.113562322643357,2019
Slovenia,10.0,3.5,12.5,76.56,3.5,13.0,10.0,5.0,3.5,9.75,10.17,9.5,0.0,4.5,5.5,5.5,24.719384635600306,2019
Sweden,8.17,4.0,12.92,84.25,5.5,13.17,9.5,6.0,5.0,9.25,11.5,10.0,2.5,5.5,5.5,6.0,27.003436049684236,2019
Togo,5.5,0.0,10.5,61.88,2.0,9.0,10.0,2.5,2.0,9.75,9.5,10.0,0.0,3.0,2.5,5.0,22.668132599201822,2019
Thailand,6.5,2.0,13.5,71.83,2.0,14.46,10.0,2.5,4.0,10.0,9.33,10.0,4.0,2.5,2.0,2.0,27.022172236917317,2019
Tunisia,4.42,2.13,10.17,62.0,2.63,8.21,9.29,4.63,5.0,8.29,9.63,8.0,0.92,5.0,3.5,4.0,24.458683879105617,2019
Tanzania,5.96,1.0,9.0,65.88,2.0,10.0,9.04,3.33,4.0,10.0,9.5,8.96,3.5,5.0,3.5,3.0,24.83457783341954,2019
Uganda,5.17,2.0,9.08,62.35,1.5,9.0,9.79,2.5,3.0,9.79,8.29,8.5,3.5,3.5,2.0,2.5,24.288512038264308,2019
