Country,Budget_Balanace,Bureaucracy_Quality,CAXGS,Composite,Corruption,CACC,DebtServ,Democratic_Accountability,Ethnic_Tension,Exchange_Rate,External_Conflict,Inflation,International_Liquidity,Law_Order,Military_Politic,Religious_Tension,GDP
Malawi,5.75,2.5,8.5,61.67,2.0,9.25,9.63,4.42,3.5,10.0,9.46,7.5,1.13,2.5,3.5,2.5,11077305329.6417
Malaysia,6.0,3.0,12.5,75.96,2.5,13.0,10.0,4.0,3.5,10.0,10.0,9.83,3.5,4.0,5.0,3.5,365177721021.516
Namibia,4.0,2.0,11.5,70.46,3.0,10.25,10.0,4.0,4.5,8.92,11.5,8.5,2.25,5.0,6.0,6.0,12541928102.7657
Niger,5.25,1.5,3.0,53.15,1.5,5.13,9.38,3.0,3.0,9.75,9.5,9.5,0.63,2.0,2.0,2.0,12889555561.2299
Nigeria,6.5,1.5,13.21,64.35,1.5,13.04,10.0,4.5,2.0,10.0,9.42,6.54,4.13,2.0,2.0,1.5,474517490844.461
Nicaragua,6.25,1.0,11.33,59.98,1.5,10.46,10.0,2.5,5.0,9.75,8.83,9.25,0.42,3.0,2.5,5.0,12699046244.607
Netherlands,8.21,4.0,13.0,83.21,5.0,14.92,10.0,6.0,4.5,9.75,12.0,9.5,0.0,6.0,6.0,4.0,910194347568.626
Norway,10.0,4.0,13.92,89.1,5.0,14.08,10.0,6.0,4.5,9.33,11.0,9.58,3.67,6.0,6.0,5.5,408742840909.091
New Zealand,8.0,4.0,11.0,82.9,5.5,10.5,9.5,6.0,3.5,9.83,10.0,10.0,3.0,5.5,6.0,6.0,212846907683.439
Oman,4.5,2.0,11.67,71.88,3.0,10.33,10.0,2.0,5.0,10.0,10.0,10.0,3.17,5.0,5.0,4.0,88060858257.4772
Pakistan,4.67,2.0,10.0,56.63,2.0,10.17,9.0,4.0,1.0,6.67,8.21,7.75,0.17,3.0,1.5,1.0,320909472770.669
Panama,6.63,2.0,11.13,74.54,2.0,9.83,9.5,6.0,5.0,10.0,11.0,9.79,1.0,3.0,5.0,5.0,69721787500.0
Peru,6.5,2.13,11.5,73.56,2.63,11.0,9.29,5.0,3.0,10.0,10.0,9.71,5.0,3.0,4.5,6.0,228346006003.648
Philippines,6.67,3.0,11.75,71.67,2.5,11.0,10.0,5.0,4.0,10.0,10.38,8.83,4.0,2.5,2.04,3.0,376823402244.928
Papua New Guinea,6.46,2.0,8.67,61.33,2.0,6.08,10.0,3.0,2.0,10.0,9.5,8.5,3.96,3.0,4.5,5.0,24751066910.5409
Poland,6.5,3.0,12.0,78.08,3.0,11.5,10.0,5.17,6.0,9.58,10.0,9.67,2.67,3.5,6.0,5.0,596058473058.766
Portugal,7.5,3.0,12.0,77.48,4.0,11.25,8.25,5.5,6.0,9.75,9.5,10.0,2.0,5.0,6.0,5.5,239986922638.902
Paraguay,7.0,1.5,12.0,68.1,2.0,11.0,10.0,2.0,5.0,9.13,10.5,8.92,3.5,2.0,1.5,6.0,37925338329.1494
Qatar,8.0,2.0,13.42,76.63,3.5,13.88,10.0,2.0,6.0,10.0,7.0,9.08,2.58,5.0,4.0,4.0,176371267692.308
Romania,6.0,1.0,11.13,70.17,2.5,10.13,9.5,6.0,3.5,9.38,11.0,8.71,3.0,3.04,5.0,5.0,251017797625.017
Saudi Arabia,5.13,2.0,13.83,75.58,3.5,13.83,10.0,2.0,5.0,10.0,7.92,9.79,5.0,5.0,5.0,3.5,838564800000.0
Sudan,5.25,1.0,4.13,39.23,0.5,9.88,10.0,2.25,1.71,0.0,7.79,2.5,0.0,2.5,0.58,2.21,32338079165.2893
Senegal,6.33,1.42,10.08,63.29,2.13,9.08,8.33,4.42,3.0,9.75,10.0,10.0,0.0,3.0,2.5,3.0,23403995992.1354
Singapore,7.5,4.0,13.13,86.04,5.0,15.0,10.0,2.0,6.0,10.0,10.5,10.0,4.0,5.0,5.0,4.5,376901649222.451
Sierra Leone,4.96,0.0,4.67,57.63,3.0,5.88,9.96,4.5,3.5,8.29,10.5,6.04,0.0,3.5,2.5,5.0,4076578698.79107
El Salvador,6.17,2.0,11.5,69.25,2.0,10.5,9.83,5.0,6.0,9.75,10.5,10.0,2.0,1.96,2.5,6.0,26881140000.0
Somalia,6.5,0.0,11.0,52.94,0.5,9.5,10.0,2.71,2.0,10.0,7.25,9.0,0.0,0.5,1.0,3.0,9420431258.24747
Suriname,4.63,2.0,11.88,65.83,2.5,11.0,10.0,5.0,4.0,10.0,10.0,8.25,0.75,3.0,3.0,6.0,4016040575.08796
Slovenia,10.0,3.5,12.5,76.56,3.5,13.0,10.0,5.0,3.5,9.75,10.17,9.5,0.0,4.5,5.5,5.5,54386654313.9685
Sweden,8.17,4.0,12.92,84.25,5.5,13.17,9.5,6.0,5.0,9.25,11.5,10.0,2.5,5.5,5.5,6.0,533879529188.454
Togo,5.5,0.0,10.5,61.88,2.0,9.0,10.0,2.5,2.0,9.75,9.5,10.0,0.0,3.0,2.5,5.0,6992700101.37188
Thailand,6.5,2.0,13.5,71.83,2.0,14.46,10.0,2.5,4.0,10.0,9.33,10.0,4.0,2.5,2.0,2.0,543976691793.886
Tunisia,4.42,2.13,10.17,62.0,2.63,8.21,9.29,4.63,5.0,8.29,9.63,8.0,0.92,5.0,3.5,4.0,41905540184.424
Tanzania,5.96,1.0,9.0,65.88,2.0,10.0,9.04,3.33,4.0,10.0,9.5,8.96,3.5,5.0,3.5,3.0,61026731925.9213
Uganda,5.17,2.0,9.08,62.35,1.5,9.0,9.79,2.5,3.0,9.79,8.29,8.5,3.5,3.5,2.0,2.5,35348155095.4215
Ukraine,6.54,1.0,11.5,65.81,2.38,10.29,9.54,5.0,4.0,9.75,7.29,7.46,1.54,4.0,5.0,5.0,153883047509.577
Uruguay,6.5,2.0,11.75,72.71,4.5,11.25,9.0,5.0,6.0,7.88,9.5,7.71,5.0,2.75,3.5,5.0,62222387928.9932
United States,5.5,4.0,11.0,77.44,4.5,10.5,8.0,6.0,5.0,10.0,10.0,9.5,0.0,5.0,4.0,5.5,21521395000000.0
South Africa,5.54,2.0,11.33,68.42,2.96,10.38,10.0,5.0,3.33,8.83,10.5,8.5,3.04,2.0,5.0,5.0,389330032224.269
Zambia,4.58,1.0,11.33,62.27,2.33,10.5,9.5,4.0,4.5,6.67,10.46,8.0,1.0,4.0,5.0,5.0,23308667781.2258
Zimbabwe,4.0,1.5,10.79,55.35,1.0,10.25,9.5,2.0,4.0,10.0,10.0,4.29,0.0,3.0,2.0,5.0,21832234925.5021
