Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,2.00,2.75,3.00,3.00,3.00,3.00,3.00,2.50,2.00,2.00,2.00,2.50,3.00,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.67,3.50,3.50,3.50,3.08,2.88,2.50,2.50,2.50,2.17,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Canada,5.92,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.50,5.50,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.96
Chile,2.00,2.50,3.25,3.00,3.00,3.00,3.00,3.00,3.00,3.83,4.75,5.00,5.00,4.58,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.33,5.50
China,4.00,4.00,4.00,4.00,4.00,4.00,3.33,3.00,3.00,2.50,2.00,2.00,2.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.21,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.08,1.00
Colombia,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.42,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Congo,,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.25,4.00,3.58,1.00,1.00,1.00,1.00,2.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.54,2.50,2.50,2.50,2.50,2.50
"Congo, DR",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.75,2.00,2.67,3.00,1.58,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.04,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.92,3.00,3.00,3.00
Costa Rica,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.46,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
Cote d'Ivoire,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.25,1.00,1.25,1.75,2.00,2.00,2.00,2.00,2.00,2.00,2.17,3.00,2.83,2.50,2.50,2.50,3.17,4.00,4.00,4.00,3.92,3.92,4.42
Croatia,,,,,,,,,,,,,,,,3.00,5.00,5.00,5.00,5.00,5.13,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
