Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,2.58,3.00,3.00,3.00,3.00,3.00,3.00,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.92,1.50,1.50,1.50,1.71,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.96,3.50,3.00,3.00,2.58,2.50,2.50
Canada,2.75,4.58,5.00,5.00,5.00,5.00,4.50,4.00,3.83,3.83,3.67,3.00,3.00,2.50,2.00,2.00,3.00,3.00,3.00,3.38,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Chile,5.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.75,6.00,6.00,6.00,6.00,5.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
China,4.00,4.00,4.00,4.00,3.17,3.00,3.00,3.00,4.17,5.00,5.00,5.00,5.50,4.17,4.00,4.00,4.00,4.00,4.92,5.00,5.00,4.83,4.50,4.50,4.50,4.00,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.13,3.00
Colombia,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Congo,,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.92,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Congo, DR",1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,0.00,0.17,0.83,2.00,1.92,1.50,1.33,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Costa Rica,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Cote d'Ivoire,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,2.58,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.25,2.50
Croatia,,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.58,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Cuba,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.75,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Cyprus,,2.00,2.00,2.00,2.33,3.00,3.00,3.42,4.00,4.00,4.00,4.00,2.75,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50
Czech Republic,,,,,,,,,,5.50,6.00,6.00,6.00,6.00,5.00,4.50,3.00,3.00,3.00,3.00,3.00,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Czechoslovakia,3.00,3.00,3.00,3.00,3.00,3.25,5.00,4.83,2.67,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Denmark,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.83,3.79,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
