Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,4.58,4.83,5.00,5.00,5.00,5.00,5.00,4.50,4.67,5.00,6.75,8.00,7.42,6.42,6.58,8.00,7.17,8.88,8.21,8.46,8.79,9.58,9.88,9.63,9.96,10.00,10.00,9.63,8.54,8.50,8.04,7.50,7.58,7.21,6.21,6.33,6.38,6.08,6.13
Canada,10.00,10.00,10.00,10.00,11.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,10.33,10.00,10.00,11.50,12.00,12.00,11.63,11.50,10.96,10.50,10.50,10.83,11.00,11.00,11.00,10.71,10.42,10.00,10.00,10.00,10.00,10.17,10.50,10.50,10.46
Chile,6.58,4.00,3.50,3.00,3.00,4.00,7.00,7.00,7.00,8.67,10.75,11.92,12.00,11.67,10.17,9.00,9.00,9.67,9.58,10.71,11.38,11.50,11.25,10.67,10.29,9.75,8.50,8.38,8.08,8.46,8.67,8.42,8.17,8.38,9.08,9.63,9.38,9.63,9.46
China,10.14,10.00,10.00,10.00,10.58,10.42,10.00,10.00,11.17,11.92,11.00,11.00,11.17,10.92,10.00,10.00,10.00,10.08,10.71,11.33,11.38,10.33,10.00,10.25,9.63,9.33,9.25,8.79,8.83,8.50,7.42,7.00,7.08,7.58,8.00,8.46,8.88,9.00,8.92
Colombia,6.58,6.00,5.00,4.50,4.00,4.25,5.00,5.00,5.00,5.75,6.83,7.58,7.67,5.42,3.75,4.42,5.33,4.46,3.42,3.46,4.96,5.79,5.50,5.50,5.96,6.25,6.83,6.29,5.58,6.42,7.29,7.33,8.33,8.92,8.79,7.88,6.83,6.46,6.79
Congo,,8.00,8.00,8.00,8.00,8.00,8.00,8.00,6.17,6.00,8.00,8.00,8.92,7.08,6.58,5.75,8.25,8.50,7.79,9.29,9.63,9.42,8.00,7.88,8.00,8.00,8.00,7.58,7.50,7.50,7.50,7.46,7.38,7.21,7.71,7.88,8.96,9.00,9.00
"Congo, DR",2.67,4.00,4.00,4.00,4.00,4.00,4.00,3.50,2.00,3.50,4.42,5.67,5.25,5.58,4.92,4.75,6.17,7.21,6.71,7.00,6.75,5.21,5.29,6.25,6.54,7.25,6.67,6.00,6.50,6.58,6.00,6.00,6.00,6.00,6.29,7.29,7.13,6.88,6.08
Costa Rica,9.42,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.25,10.00,10.00,10.00,10.00,10.00,9.33,10.83,10.75,10.83,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.46,10.50,10.92,11.00,10.83,10.75,10.63,10.42,10.71,10.83,10.75
Cote d'Ivoire,9.33,9.00,9.00,9.00,9.00,9.00,9.00,10.00,10.00,10.00,10.00,10.00,9.00,9.00,9.00,8.25,6.83,7.25,6.21,7.42,7.63,6.75,7.33,7.92,8.00,8.21,8.00,7.75,7.83,7.00,6.75,7.67,7.25,7.25,7.13,7.00,7.08,7.71,7.88
Croatia,,,,,,,,,,,,,,,,10.00,10.00,10.67,11.00,10.50,10.63,10.75,11.00,11.50,11.50,11.50,11.50,10.96,10.79,10.25,10.00,9.92,10.00,10.00,10.00,10.00,10.00,10.38,10.04
Cuba,,8.00,7.50,7.17,8.00,8.00,7.83,8.00,8.08,10.50,12.00,12.00,12.00,11.25,9.00,9.00,8.75,10.50,10.33,9.00,9.17,9.79,10.00,10.00,10.00,10.00,10.00,9.92,10.00,10.00,10.00,10.33,10.25,10.00,10.00,10.00,10.42,10.33,10.21
Cyprus,,5.00,4.50,4.17,6.67,8.00,8.92,9.92,10.00,10.33,11.00,11.00,10.42,9.67,7.67,7.00,8.75,9.33,8.88,9.75,10.21,11.00,11.00,11.00,11.00,11.00,11.00,10.75,10.50,10.08,10.46,10.83,10.58,10.50,10.50,10.50,10.50,10.21,10.00
Czech Republic,,,,,,,,,,11.50,12.00,12.00,12.00,12.00,11.00,11.00,11.00,11.00,11.25,10.83,10.50,10.83,11.00,10.79,10.50,10.50,10.33,10.00,10.00,10.00,10.00,10.33,10.50,10.29,10.42,10.38,10.29,10.33,9.88
Czechoslovakia,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.92,11.00,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
