Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,2.50,3.00,3.00,3.00,3.00,3.00,3.00,2.67,2.00,2.00,2.50,3.00,3.00,3.00,3.00,3.00,2.25,2.00,2.00,2.00,2.00,2.00,2.42,2.08,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Canada,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.58,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.46
Chile,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.58,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.42,4.00,4.00,4.00
China,2.86,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.17,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,4.00,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.08,3.63,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.00,3.00
Colombia,1.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.83,2.00,2.00,2.00,2.00,2.00,1.17,1.00,1.00,1.00,1.00,1.00,1.29,1.50,1.96,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Congo,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.42,3.00,3.00,2.67,1.00,1.00,1.75,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
"Congo, DR",1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,0.00,0.75,1.00,1.00,1.00,1.42,1.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.46,1.50
Costa Rica,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.50,3.50,3.50,3.17,3.00,3.00,3.00,3.00,3.00,2.50,2.50,2.50,2.50,2.50,2.50
Cote d'Ivoire,3.67,4.00,4.00,4.00,4.00,4.00,2.58,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.83,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50
Croatia,,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.92,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
