Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,12.50,12.50,11.92,11.75,11.54,11.46,11.25,11.33,10.71,11.00,11.33,11.58,11.75,12.25,11.92,11.92,12.04,12.21,12.50,12.50,13.00,12.50,12.75,12.75,12.50,12.04,11.54,11.50,11.21,11.50,11.50,11.75,11.50,11.50,11.50,11.50,11.50,9.92,12.13
Chile,10.21,8.96,9.00,10.42,11.42,11.50,11.00,10.71,11.67,11.00,10.58,12.25,12.04,11.88,10.83,10.75,11.42,11.79,12.00,12.00,12.38,12.75,12.50,12.50,12.25,12.00,12.58,12.17,11.50,11.25,11.25,12.00,11.54,11.50,11.96,11.54,11.67,12.25,11.00
China,,13.08,10.92,10.58,12.46,11.04,10.92,13.00,13.21,12.83,11.71,12.21,12.50,12.50,12.67,13.00,12.67,12.79,12.50,12.50,12.50,13.04,13.71,14.42,14.50,13.54,13.50,13.46,13.00,13.00,13.00,13.25,13.25,13.33,12.83,12.50,12.50,13.67,13.50
Colombia,8.75,10.38,10.29,11.13,11.38,11.17,11.50,12.25,12.92,12.50,10.08,10.00,9.58,9.00,9.42,9.75,10.17,11.88,11.42,11.17,11.00,11.38,11.75,11.21,10.71,10.50,10.83,10.92,10.58,10.92,10.50,9.21,9.00,10.13,10.50,10.50,10.00,10.25,9.79
Congo,,8.67,11.50,8.83,4.92,8.13,9.21,11.04,11.46,10.83,9.46,7.25,6.00,8.29,10.08,11.00,11.00,10.83,11.67,10.67,12.79,12.88,12.75,13.50,13.83,14.50,13.50,12.75,13.04,12.50,12.54,11.25,11.63,10.13,10.96,13.50,12.17,12.25,10.17
"Congo, DR",6.46,7.75,10.83,12.29,10.25,9.79,10.08,8.00,7.58,6.42,4.67,8.33,10.13,8.50,7.00,10.67,15.00,14.08,8.17,7.08,9.21,10.08,10.04,10.17,10.29,9.25,10.21,10.50,11.92,10.00,10.42,10.25,10.58,10.92,12.00,11.54,10.63,10.83,12.17
Costa Rica,10.38,9.96,10.00,10.50,11.00,10.67,10.83,10.75,10.67,10.92,10.75,11.21,10.92,11.25,11.58,12.00,11.50,11.21,11.46,11.38,11.46,11.42,11.33,11.33,11.17,10.79,11.88,12.42,11.00,10.58,10.50,10.88,11.13,10.92,11.17,11.50,11.13,11.42,11.38
Cote d'Ivoire,8.46,9.92,12.13,12.25,10.42,6.29,8.96,8.58,8.96,7.71,10.21,11.42,12.17,12.00,11.08,11.92,11.42,11.17,11.38,12.00,12.25,12.75,12.54,13.25,12.67,12.00,12.25,12.21,12.21,11.54,11.50,11.96,11.71,11.29,11.50,11.25,11.17,10.83,10.75
Croatia,,,,,,,,,,,,,,,,10.08,10.00,10.17,10.00,10.00,10.00,10.50,10.50,11.00,11.50,11.25,11.21,11.50,11.50,11.79,12.04,12.50,12.33,12.00,12.50,12.50,11.75,11.54,12.00
Cuba,,,,,,,,,,,,,9.00,10.25,11.17,10.00,10.00,10.00,9.38,8.17,10.00,11.21,11.08,11.46,11.58,11.00,12.00,12.29,12.29,11.67,11.75,12.08,12.42,12.67,13.00,12.79,12.50,12.29,12.00
