Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,5.55,5.71,5.88,5.25,5.00,5.00,5.00,4.42,3.88,2.50,2.63,3.00,4.00,3.54,2.92,2.96,3.00,4.00,3.92,4.50,5.88,5.96,6.04,6.50,7.75,9.00,8.92,8.21,8.88,9.50,9.17,8.96,8.21,8.00,7.71,7.46,7.00,7.00,6.71
Canada,8.18,8.00,8.29,8.54,9.04,9.50,9.50,9.50,9.50,8.79,8.50,8.50,8.50,8.83,9.50,9.50,9.50,10.00,10.00,9.00,8.75,7.92,7.00,6.50,8.50,8.50,7.58,7.25,7.13,7.50,7.50,7.25,6.54,6.83,7.50,7.25,7.00,6.83,6.50
Chile,4.39,5.08,5.08,6.17,7.08,7.08,7.67,8.88,8.96,8.50,8.13,8.00,8.00,7.67,7.00,6.42,5.67,5.17,5.00,4.63,4.88,5.50,6.42,7.00,7.00,6.67,6.04,5.71,6.00,6.00,5.75,5.17,4.54,4.50,4.50,4.50,4.04,3.50,4.00
China,6.36,6.58,6.50,6.13,6.42,5.00,4.29,4.42,6.42,7.50,7.00,7.00,6.79,7.67,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.13,9.00,9.00,9.25,9.50,9.50,9.50,9.50,9.46,9.50,8.75,9.00,9.00,8.58,8.83,8.33,8.46
Colombia,6.09,6.00,6.04,6.04,6.00,5.00,6.50,8.29,8.71,7.83,7.50,7.50,6.50,5.50,7.00,7.00,6.08,6.00,6.00,6.00,5.17,5.83,7.33,7.21,7.46,8.08,8.17,8.00,8.00,8.00,8.00,7.96,6.42,6.21,6.13,6.29,5.79,5.50,5.04
Congo,,4.28,4.00,3.92,3.92,4.29,4.50,3.88,3.04,3.50,3.92,4.50,5.46,4.33,0.00,0.46,0.04,0.50,0.50,0.50,0.50,0.88,1.13,2.63,3.50,5.00,7.04,8.75,7.25,6.88,7.92,7.63,5.38,4.79,2.83,3.25,4.54,4.04,4.83
"Congo, DR",2.32,3.00,2.75,3.54,3.71,2.79,2.96,2.88,1.50,1.50,1.50,1.50,1.50,1.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,4.21,2.08,2.63,4.21,5.00,6.00,6.21,7.00,8.00,8.83,9.00,9.00,9.00,8.83,8.71
Costa Rica,3.39,4.00,4.13,3.88,4.00,4.00,5.08,6.79,7.83,6.50,6.50,6.50,6.50,6.33,5.92,6.38,6.42,6.17,6.00,6.17,6.54,7.00,7.00,7.33,7.25,7.00,7.13,7.83,7.58,7.33,7.00,6.33,6.00,5.96,5.50,5.50,5.33,5.00,5.00
Cote d'Ivoire,4.93,6.46,7.21,6.67,6.17,5.96,5.17,5.00,5.42,4.50,4.50,4.58,5.42,3.83,0.96,0.54,0.71,1.00,1.00,1.00,1.00,1.75,2.58,2.79,3.67,4.25,5.00,5.00,4.79,5.88,6.67,6.79,6.00,6.67,6.75,5.25,6.92,7.04,6.50
Croatia,,,,,,,,,,,,,,,,7.00,6.63,5.38,5.21,5.50,5.50,5.50,5.50,3.67,3.50,3.00,2.50,2.50,2.17,1.92,1.54,2.08,2.50,2.50,3.50,3.71,3.63,3.54,4.00
Cuba,,4.50,3.25,2.50,2.50,2.50,2.29,2.00,2.08,2.71,2.50,2.50,3.54,4.33,5.17,5.50,5.50,5.50,5.50,5.50,5.54,6.42,6.50,6.83,5.54,3.50,6.13,7.00,7.00,7.00,7.00,7.17,7.50,7.50,8.00,8.00,7.79,7.29,7.83
Cyprus,,7.00,7.00,7.33,7.50,7.50,7.50,7.50,8.50,8.50,8.50,8.50,8.50,8.67,8.83,9.00,10.00,10.00,10.00,10.00,10.00,7.00,7.00,6.79,6.50,6.50,3.71,1.00,4.67,4.17,3.67,4.00,4.00,4.00,4.00,3.75,3.13,2.33,2.00
Czech Republic,,,,,,,,,,6.50,7.08,8.00,8.13,7.83,6.21,6.17,5.75,5.50,5.50,6.50,6.54,6.25,6.38,6.50,6.17,5.79,5.75,5.00,5.29,5.08,5.00,4.88,4.50,4.13,3.79,3.79,3.58,3.83,4.00
Czechoslovakia,6.71,7.42,7.63,7.50,7.50,7.50,7.29,7.00,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,7.77,7.50,7.75,7.71,7.50,7.42,7.42,7.50,8.75,9.17,9.50,9.50,9.50,9.50,9.46,9.00,8.08,8.17,8.00,8.00,8.42,7.38,7.00,8.17,9.00,9.00,8.96,8.42,8.00,7.67,7.50,7.25,7.17,6.50,6.25,6.25,5.63,5.75,5.50
Dominican Republic,4.16,4.50,4.25,3.88,3.17,3.00,3.50,4.00,4.08,5.67,6.50,6.50,6.50,6.29,6.63,7.00,7.50,7.50,7.50,7.50,6.50,6.46,6.50,6.50,7.33,7.50,7.79,7.71,7.50,7.25,7.00,7.21,6.92,7.54,6.67,7.50,7.46,6.96,6.83
East Germany,7.93,7.83,7.33,6.54,6.50,6.50,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,3.27,3.33,3.71,3.17,4.21,4.50,4.42,5.25,6.04,5.75,4.96,5.04,3.83,3.33,4.21,4.13,2.67,1.67,1.50,3.17,4.42,5.00,5.25,5.75,6.42,6.79,7.00,7.25,7.50,7.50,7.50,7.25,7.00,6.58,6.21,6.00,5.42,5.00,5.00
Egypt,5.14,3.92,2.50,3.29,3.42,3.58,4.33,6.13,6.96,6.50,6.50,6.50,6.92,6.83,6.04,6.13,7.13,7.17,6.67,6.63,6.50,6.71,6.88,7.42,7.50,8.00,8.21,8.33,8.50,8.50,8.50,8.25,8.75,8.00,6.25,6.75,6.75,6.00,6.75
El Salvador,3.20,3.50,3.50,3.08,3.00,3.00,3.00,3.00,3.79,4.79,5.00,5.08,5.50,6.33,8.17,8.50,8.50,8.50,8.50,7.00,5.50,5.00,5.00,5.50,5.67,5.50,5.04,4.88,4.88,5.00,4.63,4.50,4.50,4.50,4.25,4.50,4.13,4.13,3.92
Estonia,,,,,,,,,,,,,,,,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,3.96,1.50,1.67,0.75,1.00,1.75,2.00,2.00,2.13,3.50,3.21,3.21,3.71,3.63,3.50,3.50
Ethiopia,,3.50,3.25,3.00,3.00,3.00,3.00,3.00,2.96,2.50,2.50,2.75,4.13,5.08,4.67,1.00,1.00,2.88,2.88,2.50,2.50,2.50,2.50,6.63,8.00,8.50,8.42,7.50,7.50,7.50,7.04,7.00,7.00,6.92,6.58,7.00,6.63,6.88,6.58
Finland,8.52,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.25,8.50,8.13,7.96,7.50,6.00,5.00,5.00,5.00,5.00,4.29,2.92,3.42,3.50,3.50,3.96,4.21,3.75,3.50,3.04,3.00,3.00,3.17,3.08,3.00,3.25,3.38,3.13,3.00,3.25
France,7.64,7.75,7.75,7.92,8.58,9.00,9.00,9.00,9.50,8.67,8.50,8.50,8.21,8.25,7.96,7.50,7.50,7.67,7.50,7.71,6.96,7.29,7.50,7.50,7.67,7.79,7.79,7.08,7.00,7.00,7.00,7.00,6.42,6.00,6.00,6.00,5.17,4.83,4.67
Gabon,6.07,5.88,6.13,6.00,6.38,6.50,6.50,6.50,6.42,5.50,5.50,5.50,6.04,5.33,3.17,4.58,4.08,4.50,4.50,4.38,4.33,5.04,6.50,7.63,8.00,8.58,8.75,8.42,8.63,8.54,8.50,8.00,6.67,5.58,6.25,5.83,5.92,5.21,4.71
Gambia,,,7.00,6.83,6.50,6.50,6.67,7.00,7.04,6.50,6.33,3.33,2.50,3.00,4.00,2.63,2.50,2.50,1.88,1.00,1.00,1.00,1.00,6.50,6.38,5.08,5.33,5.50,5.50,5.21,5.33,5.00,4.92,4.50,4.50,5.13,6.00,6.00,6.00
Germany,,,,,,,,10.00,10.00,9.17,9.00,9.00,8.71,8.67,8.92,9.00,9.00,9.00,9.00,9.00,7.75,7.25,6.50,6.50,9.38,9.00,9.00,9.00,8.96,8.50,8.50,8.13,8.00,8.00,8.00,8.00,7.63,7.75,7.50
Ghana,3.89,4.58,4.96,5.54,6.00,6.00,6.00,6.00,5.92,5.00,5.00,5.00,5.00,4.54,4.50,4.04,3.42,3.00,3.00,2.83,3.58,3.92,4.08,7.04,7.58,7.50,6.92,6.50,7.88,7.79,7.25,6.50,6.08,6.50,6.00,6.75,6.83,6.29,6.17
Greece,5.59,5.38,4.50,4.92,5.00,5.00,4.79,4.50,4.83,6.04,6.00,6.00,6.00,6.21,6.96,6.50,6.50,6.50,6.50,6.71,6.50,5.42,6.00,6.50,7.17,7.50,2.83,2.25,3.67,3.00,3.00,2.42,1.58,1.00,1.00,0.17,0.00,0.00,0.00
